point,sample_count,mean_counts,std_counts,std_mm
1,5,264229,0,0
2,5,249165,0,0
3,5,290613,0,0
4,5,318334.8,0.4,0.00140380430968
5,5,297001,0,0
6,5,290997,0,0
7,5,298682,0,0
8,5,276199,0,0
9,5,284871,0,0
10,5,274787,0,0
11,5,230580,0,0
12,5,213803,0,0
13,5,229083,0,0
14,5,262582,0,0
15,5,270096,0,0
16,5,265261,0,0
17,5,258123,0,0
18,5,224269,0,0
19,5,210078,0,0
20,5,240056,0,0
21,5,233164,0,0
22,5,228325,0,0
23,5,220129,0,0
24,5,219378,0,0
25,5,210218,0,0
26,5,214894,0,0
27,5,220708,0,0
28,5,234174,0,0
29,5,241233,0,0
30,5,245984,0,0
31,5,252484,0,0
32,5,250828,0,0
33,5,268749,0,0
34,5,274011,0,0
35,5,281703,0,0
36,5,271898,0,0
37,5,274170,0,0
38,5,269579,0,0
39,5,263597,0,0
40,5,257366,0,0
41,5,254768,0,0
42,5,252572,0,0
43,5,252147,0,0
44,5,247926,0,0
45,5,249442,0,0
46,5,248772,0,0
47,5,245770,0,0
48,5,242720,0,0
49,5,240602,0,0
50,5,271983,0,0
51,5,245572,0,0
52,5,244283,0,0
53,5,244620,0,0
54,5,239989,0,0
55,5,242237,0,0
56,5,241893,0,0
57,5,243152,0,0
58,5,242310,0,0
59,5,242806,0,0
60,5,272616,0,0
61,5,273495,0,0
62,5,261455,0,0
63,5,258201,0,0
64,5,278797,0,0
65,5,300088,0,0
66,5,237515,0,0
67,5,240965,0,0
68,5,250174,0,0
69,5,282183,0,0
70,5,302787,0,0
71,5,313763,0,0
72,5,286915.8,0.4,0.00140380430968
73,5,275222,0,0
74,5,258285,0,0
75,5,257624,0,0
76,5,262432,0,0
77,5,264484,0,0
78,5,264420,0,0
79,5,264335,0,0
80,5,264212,0,0
81,5,264186,0,0
82,5,264184,0,0
