build,HE3-V3-CRAIG-MDH-ANALYTIC-LASER-POLICY-20260826-R7-MDH-SOURCE-SELECT
status,1
mae_before_mm,2.31304706662456
mae_after_mm,1.89220489464582
max_after_mm,4.8377103513827
iteration,mae_mm,max_mm,step_scale
0,2.31304706662456,5.68439928392206,0
1,2.01240104125003,5.08528983943535,0.125
2,1.94895636839451,4.95492178763002,0.03125
3,1.91837185921537,4.89180213371565,0.015625
4,1.90335261643812,4.860764552719,0.0078125
5,1.89590978842267,4.84537392133455,0.00390625
6,1.89220489464582,4.8377103513827,0.001953125
