point,sample_count,mean_counts,std_counts,std_mm
1,5,264641,0,0
2,5,249586,0,0
3,5,291037,0,0
4,5,318732,0,0
5,5,297414,0,0
6,5,291421,0,0
7,5,299099,0,0
8,5,276606,0,0
9,5,285277,0,0
10,5,275191,0,0
11,5,230962,0,0
12,5,214172,0,0
13,5,229448,0,0
14,5,262939,0,0
15,5,270459,0,0
16,5,265620,0,0
17,5,258485,0,0
18,5,224658,0,0
19,5,210464,0,0
20,5,240416,0,0
21,5,233516,0,0
22,5,228673,0,0
23,5,220473,0,0
24,5,219745,0,0
25,5,210576,0,0
26,5,215270,0,0
27,5,221092,0,0
28,5,234564,0,0
29,5,241617,0,0
30,5,246376,0,0
31,5,252888,0,0
32,5,251250,0,0
33,5,269179,0,0
34,5,274446,0,0
35,5,282149,0,0
36,5,272329,0,0
37,5,274592,0,0
38,5,270003,0,0
39,5,264016,0,0
40,5,257794,0,0
41,5,255189,0,0
42,5,252994,0,0
43,5,252551,0,0
44,5,248344,0,0
45,5,249839,0,0
46,5,249176,0,0
47,5,246184,0,0
48,5,243124,0,0
49,5,241002,0,0
50,5,272367,0,0
51,5,245995,0,0
52,5,244682,0,0
53,5,245005,0,0
54,5,240382,0,0
55,5,242631,0,0
56,5,242282,0,0
57,5,243534,0,0
58,5,242699,0,0
59,5,243193,0,0
60,5,273010,0,0
61,5,273895,0,0
62,5,261858,0,0
63,5,258604,0,0
64,5,279204,0,0
65,5,300483,0,0
66,5,237914,0,0
67,5,241360,0,0
68,5,250533,0,0
69,5,282575,0,0
70,5,303181,0,0
71,5,314172,0,0
72,5,287320,0,0
73,5,275625,0,0
74,5,258686,0,0
75,5,258021,0,0
76,5,262831,0,0
77,5,264882,0,0
78,5,264818,0,0
79,5,264732,0,0
80,5,264611,0,0
81,5,264585,0,0
82,5,264583,0,0
