build,HE3-V3-V1-ANALYTIC-20260819-R5
status,1
iterations,6
active_count,7
rank,7
condition,398.16691352931
mae_before_mm,50.2507491352959
mae_after_mm,6.76996600954557
max_before_mm,161.34735968269
max_after_mm,27.0022316788812
result_slot,value_before_gui_unit_conversion
0,0
1,0
2,6e-07
3,-0.0860561364223067
4,0.404794520955761
5,-0.0179109683896741
6,-0
7,-1.51552987350577
8,-15.4917619518069
9,-10.0975931847178
10,40.6307440012495
11,-0
point,rope_raw_mm,rope_with_fixed_offset_mm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q7_rad,sample_std_mm,residual_before_mm,residual_after_mm
1,849.301607,911.801607,0,0,0,-1.5707963,0,0,0,0,68.9782708833532,0.570175935385553
2,796.595775,859.095775,-0.211184835888889,-0.0486248721311111,0.0884532849822222,-1.48073731213333,-0.309080351963333,-0.0693419299988889,-0.0878249664622222,0,53.9192484175532,-1.12058623314215
3,941.952692,1004.452692,-0.0839328822966667,0.159627810664444,0.134756869247778,-1.75759888665444,-0.68408178865,-0.0509636132888889,0.282498987908889,0,76.2538737516731,1.77114270673351
4,1038.257177,1100.757177,-0.00417133684111111,0.402979064118889,0.101543254148889,-1.91371858558222,-0.849940424637778,-0.130445906068889,0.485794935713333,0,63.5108545401479,-5.98990549187195
5,962.743034,1025.243034,-0.191288082755556,0.317894264535556,0.121928699464444,-1.73040665737222,-0.474048870047778,-0.185580856198889,0.773582271165556,0,43.6991730364479,-6.89944624019678
6,941.692988,1004.192988,-0.290876568175556,0.253247270144444,0.217607647426667,-1.70005538219778,-0.396695878918889,-0.0412421295211111,1.20492293514556,0,46.4867724359467,-7.20122209342589
7,969.319857,1031.819857,-0.200712860555556,0.265866000421111,0.188547915876667,-1.80990640344444,-0.256720475296667,0.0278205478022222,0.782082024477778,0,72.5545769692152,-7.73342707820834
8,889.941742,952.441742,-0.123743841855556,0.101578160733333,0.121946152756667,-1.62961389478889,-0.426069769728889,0.11482520953,1.20528945428222,0,64.4132937719803,-2.06517908446036
9,921.193936,983.693936,0.00804596771444444,0.172700326538889,-0.0494451768655556,-1.85160231856333,-0.258361084765556,0.131353477264444,0.837897653004445,0,83.7618669341763,-8.39586319263608
10,885.818067,948.318067,0.117041777642222,-0.00422369671777778,-0.00905825866333333,-1.63263331434333,-0.0704589407011111,0.145944429562222,0.498535839035556,0,85.2646812480329,0.0427095710548997
11,729.423738,791.923738,0.229912218443333,-0.266965557831111,-0.286809951087778,-1.01168008366111,-0.0704589407011111,-0.196785869805556,0.923279158555556,0,25.7240525180895,19.8265037560384
12,676.626658,739.126658,0.10335839654,-0.505447342755556,-0.286809951087778,-1.04513804485111,-0.445198578004444,-0.00504400145222222,1.42272256878667,0,47.8492922549567,-1.43679241251227
13,726.089703,788.589703,0.10335839654,-0.251973179812222,-0.223716299704444,-1.30557607139111,-0.0478918338577778,0.09251990207,1.06440647946444,0,44.9008454292414,-5.10458589993745
14,841.019162,903.519162,0.170658291348889,0.07037167424,-0.223751206288889,-1.59395681877889,-0.46212827146,0.172141821187778,1.45289931103889,0,55.7048889544244,-2.35013727529321
15,867.786201,930.286201,0.453837957654444,0.158057014364444,-0.461307966725556,-1.72072008018889,-0.171583315836667,0.0621860801877778,0.395735947846667,0,73.6575252299136,-4.19680354656249
16,850.438689,912.938689,0.628074173908889,0.158039561072222,-0.65439373858,-1.74208290986889,-0.229877311858889,0.134320536942222,-0.108960903343333,0,73.9243176191776,-5.52370345947528
17,824.299853,886.799853,-0.284261770423333,0.158057014364444,-0.15330971888,-1.40415226586222,0.853291456744444,-0.406312642933333,-0.108978356635556,0,17.3604652649415,3.53357559419887
18,705.516951,768.016951,-0.445722176771111,-0.117896988961111,-0.15330971888,-1.08650234741778,1.31826461483667,-0.771592595852222,-1.05897850558333,0,32.7773944787852,9.08603489144277
19,659.833649,722.333649,-0.51553534566,-0.382506352342222,0.214762760794444,-1.08650234741778,1.31826461483667,-0.583009773391111,-1.25408885933556,0.00167392995265134,0.914405951489727,25.46401282206
20,764.0591,826.5591,-0.350462107822222,-0.107494826796667,0.189298407442222,-1.40413481257,1.53438873242444,-0.0903556938344444,-1.45303893737667,0,-59.0519826672424,8.22996001359166
21,741.419246,803.919246,-0.558191191851111,-0.182631249813333,0.301156557294444,-1.44158957767889,1.47569331068111,-0.116902151304444,-1.51566134987,0,-50.3347350480617,9.92568670774996
22,724.857865,787.357865,-0.743318262452222,-0.240419100361111,0.371091899228889,-1.42612596077,1.36540595712889,-0.228603221526667,-1.60566797786,0,-27.4854946798057,9.48853104082736
23,696.227276,758.727276,-0.859435015606667,-0.349118204321111,0.4932300382,-1.34008123011444,1.42387448607333,-0.275604937481111,-1.63237151496,0,-23.6038474535001,1.47085462390006
24,694.591844,757.091844,-0.892700990582222,-0.452040268555556,0.680573676913333,-1.31618767306222,1.36282286988,-0.251676473844444,-1.75656914241333,0,-26.7900500385739,6.30764302227138
25,663.644978,726.144978,-0.943158458396667,-0.570181603607778,0.690818759447778,-1.21204387837222,1.35353771841778,-0.215268906268889,-1.80556053368111,0,-12.067347595031,-17.0177375295036
26,676.419597,738.919597,-0.98064813009,-0.404741846633333,0.69083621274,-1.23710680600333,1.31877076031111,-0.271084534795556,-1.84195064796444,0,-14.9660292239853,-8.51159925353928
27,695.546431,758.046431,-1.01340795959111,-0.312640823576667,0.69083621274,-1.26559057891,1.25853944885222,-0.257226620771111,-1.88586313119556,0,-12.5401316065233,-4.15365565771886
28,742.787955,805.287955,-1.04723243991778,-0.189263500857778,0.69083621274,-1.38980565965556,1.34964563425222,-0.311296920075556,-1.95791032148889,0,-21.8879225471051,8.58759446255664
