build,HE3-V3-CRAIG-MDH-ANALYTIC-LASER-POLICY-20260826-R6.5-CLOSED-LOOP
status,1
mae_before_mm,56.3303404765298
mae_after_mm,53.0287743684201
max_after_mm,91.5446256379606
iteration,mae_mm,max_mm,step_scale
0,56.3303404765298,97.2803044392427,0
1,54.6030369771534,94.272078166223,0.03125
2,53.7580323541882,92.8064407063698,0.015625
3,53.3401596499242,92.0830650647038,0.0078125
4,53.1323773709317,91.7237171584291,0.00390625
5,53.0287743684201,91.5446256379606,0.001953125
