point,sample_count,mean_counts,std_counts,std_mm
1,5,268004,0,0
2,5,253011,0,0
3,5,294534,0,0
4,5,322278,0,0
5,5,300964,0,0
6,5,294990,0,0
7,5,302610,0,0
8,5,280060,0,0
9,5,288559,0,0
10,5,278395,0,0
11,5,234004,0,0
12,5,216665,0,0
13,5,232369,0,0
14,5,266150,0,0
15,5,273541,0,0
16,5,268520,0,0
17,5,261872,0,0
18,5,227884,0,0
19,5,213347,0,0
20,5,243786,0,0
21,5,236663,0,0
22,5,231510,0,0
23,5,223085,0,0
24,5,222430,0,0
25,5,212837,0,0
26,5,217938,0,0
27,5,223893,0,0
28,5,237535,0,0
29,5,244519,0,0
30,5,249218,0,0
31,5,256163,0,0
32,5,254419,0,0
33,5,272623,0,0
34,5,277985,0,0
35,5,285829,0,0
36,5,276036,0,0
37,5,278393,0,0
38,5,273787,0,0
39,5,267790,0,0
40,5,261547,0,0
41,5,258952,0,0
42,5,256678,0,0
43,5,256220,0,0
44,5,251978,0,0
45,5,253415,0,0
46,5,252701,0,0
47,5,249593,0,0
48,5,246388,0,0
49,5,243913,0,0
50,5,274865,0,0
51,5,249441,0,0
52,5,248081,0,0
53,5,248393,0,0
54,5,243649,0,0
55,5,245856,0,0
56,5,245479,0,0
57,5,246612,0,0
58,5,245611,0,0
59,5,245740,0,0
60,5,275256,0,0
61,5,276271,0,0
62,5,264665,0,0
63,5,261734,0,0
64,5,282702,0,0
65,5,304088,0,0
66,5,240836,0,0
67,5,244431,0,0
68,5,253785,0,0
69,5,286050,0,0
70,5,306722,0,0
71,5,317718,0,0
72,5,290507,0,0
73,5,278879,0,0
74,5,262091,0,0
75,5,261477,0,0
76,5,266320,0,0
77,5,268225,0,0
78,5,268161,0,0
79,5,268075,0,0
80,5,267950,0,0
81,5,267926,0,0
82,5,267924,0,0
