point,sample_count,mean_counts,std_counts,std_mm
1,5,265083,0,0
2,5,249993,0,0
3,5,291454,0,0
4,5,319149,0,0
5,5,297819.6,0.489897948557,0.00171930212872
6,5,291828,0,0
7,5,299499,0,0
8,5,276991,0,0
9,5,285624,0,0
10,5,275528,0,0
11,5,231246,0,0
12,5,214328,0,0
13,5,229723,0,0
14,5,263302,0,0
15,5,270787,0,0
16,5,265904,0,0
17,5,258893,0,0
18,5,224992,0,0
19,5,210719,0,0
20,5,240804,0,0
21,5,233854,0,0
22,5,228929,0,0
23,5,220674,0,0
24,5,219952,0,0
25,5,210678,0,0
26,5,215468,0,0
27,5,221323,0,0
28,5,234836,0,0
29,5,241880,0,0
30,5,246618,0,0
31,5,253235,0,0
32,5,251557,0,0
33,5,269559.6,0.489897948557,0.00171930212872
34,5,274853,0,0
35,5,282580,0,0
36,5,272767,0,0
37,5,275058,0,0
38,5,270454,0,0
39,5,264473,0,0
40,5,258252,0,0
41,5,255638,0,0
42,5,253435,0,0
43,5,252991,0,0
44,5,248801,0,0
45,5,250264,0,0
46,5,249593,0,0
47,5,246564,0,0
48,5,243474,0,0
49,5,241263,0,0
50,5,272547,0,0
51,5,246392,0,0
52,5,245064,0,0
53,5,245388,0,0
54,5,240731,0,0
55,5,242967,0,0
56,5,242614,0,0
57,5,243842,0,0
58,5,242953,0,0
59,5,243366,0,0
60,5,273124,0,0
61,5,274044,0,0
62,5,262107,0,0
63,5,258938,0,0
64,5,279635,0,0
65,5,300927,0,0
66,5,238175,0,0
67,5,241664,0,0
68,5,250910,0,0
69,5,282995,0,0
70,5,303599,0,0
71,5,314585,0,0
72,5,287640,0,0
73,5,275961,0,0
74,5,259064,0,0
75,5,258414,0,0
76,5,263232,0,0
77,5,265243,0,0
78,5,265178,0,0
79,5,265093,0,0
80,5,264972,0,0
81,5,264946,0,0
82,5,264944,0,0
