point,sample_count,mean_counts,std_counts,std_mm
1,5,264676,0,0
2,5,249581,0,0
3,5,291034,0,0
4,5,318725,0,0
5,5,297418,0,0
6,5,291425,0,0
7,5,299101,0,0
8,5,276611,0,0
9,5,285281,0,0
10,5,275196,0,0
11,5,230974,0,0
12,5,214183,0,0
13,5,229457,0,0
14,5,262951,0,0
15,5,270467,0,0
16,5,265630,0,0
17,5,258494,0,0
18,5,224661,0,0
19,5,210472,0,0
20,5,240422,0,0
21,5,233519,0,0
22,5,228679,0,0
23,5,220479,0,0
24,5,219750,0,0
25,5,210595,0,0
26,5,215271,0,0
27,5,221089,0,0
28,5,234562,0,0
29,5,241625,0,0
30,5,246381,0,0
31,5,252882,0,0
32,5,251232,0,0
33,5,269167,0,0
34,5,274436,0,0
35,5,282133,0,0
36,5,272308,0,0
37,5,274575,0,0
38,5,269981,0,0
39,5,264008,0,0
40,5,257780,0,0
41,5,255171,0,0
42,5,252975,0,0
43,5,252539,0,0
44,5,248331,0,0
45,5,249836,0,0
46,5,249177,0,0
47,5,246183,0,0
48,5,243128,0,0
49,5,241011,0,0
50,5,272391,0,0
51,5,246001,0,0
52,5,244690,0,0
53,5,245008,0,0
54,5,240384,0,0
55,5,242629,0,0
56,5,242285,0,0
57,5,243543,0,0
58,5,242703,0,0
59,5,243202,0,0
60,5,273032,0,0
61,5,273927,0,0
62,5,261884,0,0
63,5,258628,0,0
64,5,279222,0,0
65,5,300482,0,0
66,5,237913,0,0
67,5,241361,0,0
68,5,250530,0,0
69,5,282595,0,0
70,5,303185,0,0
71,5,314172,0,0
72,5,287318,0,0
73,5,275626,0,0
74,5,258686,0,0
75,5,258020,0,0
76,5,262829,0,0
77,5,264882,0,0
78,5,264819,0,0
79,5,264733,0,0
80,5,264611,0,0
81,5,264585,0,0
82,5,264583,0,0
