point,sample_count,mean_counts,std_counts,std_mm
1,5,258592,0,0
2,5,243589.8,0.4,0.00140380430968
3,5,285137,0,0
4,5,312865,0,0
5,5,291550,0,0
6,5,285605,0,0
7,5,293178,0,0
8,5,270627,0,0
9,5,279109,0,0
10,5,268978,0,0
11,5,224575,0,0
12,5,207228,0,0
13,5,222940,0,0
14,5,256740,0,0
15,5,264129,0,0
16,5,259104,0,0
17,5,252466,0,0
18,5,218469,0,0
19,5,203927,0,0
20,5,234396,0,0
21,5,227266,0,0
22,5,222110,0,0
23,5,213683,0,0
24,5,212997,0,0
25,5,203409,0,0
26,5,208513,0,0
27,5,214472,0,0
28,5,228117,0,0
29,5,235106,0,0
30,5,239806,0,0
31,5,246749,0,0
32,5,245007,0,0
33,5,263215,0,0
34,5,268579,0,0
35,5,276421,0,0
36,5,266616,0,0
37,5,268980,0,0
38,5,264372,0,0
39,5,258370,0,0
40,5,252133,0,0
41,5,249535,0,0
42,5,247264,0,0
43,5,246807,0,0
44,5,242532,0,0
45,5,243979,0,0
46,5,243276,0,0
47,5,240165,0,0
48,5,236970,0,0
49,5,234496,0,0
50,5,265452,0,0
51,5,240009,0,0
52,5,238667,0,0
53,5,238973,0,0
54,5,234235,0,0
55,5,236443,0,0
56,5,236070,0,0
57,5,237204,0,0
58,5,236202,0,0
59,5,236336,0,0
60,5,265836,0,0
61,5,266851,0,0
62,5,255252,0,0
63,5,252319,0,0
64,5,273294,0,0
65,5,294654,0,0
66,5,231424,0,0
67,5,235019,0,0
68,5,244369,0,0
69,5,276627,0,0
70,5,297308,0,0
71,5,308308,0,0
72,5,281097.8,0.4,0.00140380430968
73,5,269468,0,0
74,5,252680.2,0.4,0.00140380430968
75,5,252066,0,0
76,5,256907,0,0
77,5,258813,0,0
78,5,258750,0,0
79,5,258664,0,0
80,5,258541,0,0
81,5,258516,0,0
82,5,258515,0,0
