Time:21:29:54:61  [51] 0 140.281,-69.730,-94.342,-120.894,-112.486,158.571,0.000,0.000,0.000
Time:21:29:54:237  [52] 0
Time:21:29:54:257  [53] 0
Time:21:30:0:450  [51] Robot.WhereAngle 1
Time:21:30:0:460  [52] RopeEncLoc=144.752,-97.478,-104.165,-126.089,-141.790,134.496
Time:21:30:0:469  [53] Move.Joint RopeEncLoc
Time:21:30:2:302  [53] 1
Time:21:30:12:333  [54] 0 144.752,-97.480,-104.167,-126.088,-141.792,134.493,0.000,0.000,0.000
Time:21:30:12:429  [55] 0
Time:21:30:12:453  [56] 0
Time:21:30:18:657  [54] Robot.WhereAngle 1
Time:21:30:18:662  [55] RopeEncLoc=150.066,-98.877,-63.853,-104.849,-158.481,93.398
Time:21:30:18:665  [56] Move.Joint RopeEncLoc
Time:21:30:21:520  [56] 1
Time:21:30:33:502  [57] 0 150.066,-98.879,-63.852,-104.847,-158.483,93.395,0.000,0.000,0.000
Time:21:30:33:605  [58] 0
Time:21:30:33:622  [59] 0
Time:21:30:39:913  [57] Robot.WhereAngle 1
Time:21:30:39:915  [58] RopeEncLoc=159.182,-118.334,-84.288,-140.210,-163.390,62.935
Time:21:30:39:917  [59] Move.Joint RopeEncLoc
Time:21:30:42:197  [59] 1
Time:21:30:52:218  [60] 0 159.182,-118.336,-84.287,-140.208,-163.391,62.932,0.000,0.000,0.000
Time:21:30:52:293  [61] 0
Time:21:30:52:315  [62] 0
Time:21:30:58:630  [60] Robot.WhereAngle 1
Time:21:30:58:635  [61] RopeEncLoc=164.689,-145.529,-95.648,-150.662,-165.884,39.512
Time:21:30:58:640  [62] Move.Joint RopeEncLoc
Time:21:31:0:172  [62] 1
Time:21:31:10:216  [63] 0 164.687,-145.530,-95.650,-150.661,-165.885,39.511,0.000,0.000,0.000
Time:21:31:10:287  [64] 0
Time:21:31:10:303  [65] 0
Time:21:31:16:327  [63] Robot.WhereAngle 1
Time:21:31:16:337  [64] RopeEncLoc=168.829,-135.353,-68.656,-104.684,-159.988,25.716
Time:21:31:16:345  [65] Move.Joint RopeEncLoc
Time:21:31:19:918  [65] 1
Time:21:31:29:948  [66] 0 168.828,-135.356,-68.652,-104.682,-159.987,25.714,0.000,0.000,0.000
Time:21:31:30:61  [67] 0
Time:21:31:30:87  [68] 0
Time:21:31:36:71  [66] Robot.WhereAngle 1
Time:21:31:36:73  [67] RopeEncLoc=171.299,-128.585,-29.659,-141.753,-162.051,15.084
Time:21:31:36:76  [68] Move.Joint RopeEncLoc
Time:21:31:38:954  [68] 1
Time:21:31:48:966  [69] 0 171.298,-128.585,-29.658,-141.752,-162.052,15.081,0.000,0.000,0.000
Time:21:31:49:65  [70] 0
Time:21:31:49:86  [71] 0
Time:21:31:55:295  [69] Robot.WhereAngle 1
Time:21:31:55:300  [70] RopeEncLoc=175.211,-121.968,-15.106,-120.044,-169.327,1.557
Time:21:31:55:304  [71] Move.Joint RopeEncLoc
Time:21:31:56:376  [71] 1
Time:21:32:6:405  [72] 0 175.209,-121.970,-15.106,-120.041,-169.328,1.555,0.000,0.000,0.000
Time:21:32:6:503  [73] 0
Time:21:32:6:524  [74] 0
Time:21:32:12:459  [72] Robot.WhereAngle 1
Time:21:32:12:464  [73] RopeEncLoc=178.764,-129.460,14.812,-97.805,-176.112,-8.971
Time:21:32:12:961  [74] Move.Joint RopeEncLoc
Time:21:32:14:627  [74] 1
Time:21:32:24:662  [75] 0 178.763,-129.464,14.813,-97.803,-176.114,-8.972,0.000,0.000,0.000
Time:21:32:24:761  [76] 0
Time:21:32:24:781  [77] 0
Time:21:32:30:698  [75] Robot.WhereAngle 1
Time:21:32:31:205  [76] RopeEncLoc=179.951,-144.521,37.585,-84.102,-187.894,-23.441
Time:21:32:31:209  [77] Move.Joint RopeEncLoc
Time:21:32:32:178  [77] 1
Time:21:32:42:223  [78] 0 179.949,-144.522,37.590,-84.101,-187.896,-23.443,0.000,0.000,0.000
Time:21:32:42:318  [79] 0
Time:21:32:42:343  [80] 0
Time:21:32:48:401  [78] Robot.WhereAngle 1
Time:21:32:48:405  [79] RopeEncLoc=169.062,-155.979,51.045,-74.787,-196.282,-36.035
Time:21:32:48:409  [80] Move.Joint RopeEncLoc
Time:21:32:48:555  [80] 1
Time:21:32:58:577  [81] 0 169.060,-155.979,51.047,-74.785,-196.284,-36.036,0.000,0.000,0.000
Time:21:32:58:666  [82] 0
Time:21:32:58:685  [83] 0
Time:21:33:4:600  [81] Robot.WhereAngle 1
Time:21:33:5:106  [82] RopeEncLoc=172.062,-181.943,81.790,-98.810,-190.890,-52.718
Time:21:33:5:111  [83] Move.Joint RopeEncLoc
Time:21:33:6:864  [83] 1
Time:21:33:16:876  [84] 0 172.062,-181.945,81.792,-98.809,-190.890,-52.718,0.000,0.000,0.000
Time:21:33:16:943  [85] 0
Time:21:33:16:963  [86] 0
Time:21:33:23:347  [84] Robot.WhereAngle 1
Time:21:33:23:352  [85] RopeEncLoc=169.062,-147.908,50.624,-120.011,-180.310,-71.711
Time:21:33:23:355  [86] Move.Joint RopeEncLoc
Time:21:33:25:437  [86] 1
Time:21:33:35:435  [87] 0 169.061,-147.908,50.624,-120.011,-180.310,-71.711,0.000,0.000,0.000
Time:21:33:35:510  [88] 0
Time:21:33:35:534  [89] 0
Time:21:33:41:599  [87] Robot.WhereAngle 1
Time:21:33:41:601  [88] RopeEncLoc=157.431,-135.041,-7.887,-96.757,-175.225,-87.550
Time:21:33:41:603  [89] Move.Joint RopeEncLoc
Time:21:33:46:550  [89] 1
Time:21:33:56:583  [90] 0 157.428,-135.043,-7.887,-96.755,-175.226,-87.550,0.000,0.000,0.000
Time:21:33:56:658  [91] 0
Time:21:33:56:681  [92] 0
Time:21:34:2:924  [90] Robot.WhereAngle 1
Time:21:34:2:926  [91] RopeEncLoc=148.823,-117.521,-29.276,-130.156,-187.419,-108.955
Time:21:34:2:927  [92] Move.Joint RopeEncLoc
Time:21:34:5:98  [92] 1
Time:21:34:15:130  [93] 0 148.823,-117.521,-29.277,-130.156,-187.421,-108.955,0.000,0.000,0.000
Time:21:34:15:232  [94] 0
Time:21:34:15:251  [95] 0
Time:21:34:21:188  [93] Robot.WhereAngle 1
Time:21:34:21:695  [94] RopeEncLoc=139.138,-138.588,-47.235,-140.112,-195.160,-122.522
Time:21:34:21:698  [95] Move.Joint RopeEncLoc
Time:21:34:22:460  [95] 1
Time:21:34:32:470  [96] 0 139.135,-138.590,-47.232,-140.111,-195.161,-122.522,0.000,0.000,0.000
Time:21:34:32:568  [97] 0
Time:21:34:32:589  [98] 0
Time:21:34:38:458  [96] Robot.WhereAngle 1
Time:21:34:38:962  [97] RopeEncLoc=132.836,-161.291,-57.419,-113.896,-188.402,-134.911
Time:21:34:38:963  [98] Move.Joint RopeEncLoc
Time:21:34:40:346  [98] 1
Time:21:34:50:358  [99] 0 132.836,-161.295,-57.419,-113.894,-188.402,-134.912,0.000,0.000,0.000
Time:21:34:50:445  [100] 0
Time:21:34:50:467  [101] 0
Time:21:34:56:750  [99] Robot.WhereAngle 1
Time:21:34:56:752  [100] RopeEncLoc=127.002,-138.037,-94.470,-124.234,-196.427,-149.886
Time:21:34:56:754  [101] Move.Joint RopeEncLoc
Time:21:34:59:184  [101] 1
Time:21:35:9:193  [102] 0 127.001,-138.037,-94.467,-124.233,-196.429,-149.887,0.000,0.000,0.000
Time:21:35:9:278  [103] 0
Time:21:35:9:302  [104] 0
Time:21:35:15:541  [102] Robot.WhereAngle 1
Time:21:35:15:542  [103] RopeEncLoc=113.556,-116.686,-115.721,-137.028,-211.919,-166.850
Time:21:35:15:543  [104] Move.Joint RopeEncLoc
Time:21:35:16:542  [104] 1
Time:21:35:26:541  [105] 0 113.553,-116.688,-115.722,-137.026,-211.920,-166.851,0.000,0.000,0.000
Time:21:35:26:638  [106] 0
Time:21:35:26:660  [107] 0
Time:21:35:32:825  [105] Robot.WhereAngle 1
Time:21:35:32:827  [106] RopeEncLoc=108.598,-98.788,-134.754,-124.799,-220.704,-178.316
Time:21:35:32:830  [107] Move.Joint RopeEncLoc
Time:21:35:33:632  [107] 1
Time:21:35:43:609  [108] 0 108.595,-98.789,-134.753,-124.797,-220.706,-178.317,0.000,0.000,0.000
Time:21:35:43:696  [109] 0
Time:21:35:43:720  [110] 0
Time:21:35:49:618  [108] Robot.WhereAngle 1
Time:21:35:50:126  [109] RopeEncLoc=98.298,-90.995,-75.872,-143.860,-245.812,-188.441
Time:21:35:50:129  [110] Move.Joint RopeEncLoc
Time:21:35:54:768  [110] 1
Time:21:36:4:801  [111] 0 98.295,-90.996,-75.870,-143.860,-245.814,-188.442,0.000,0.000,0.000
Time:21:36:4:892  [112] 0
Time:21:36:4:910  [113] 0
Time:21:36:10:940  [111] Robot.WhereAngle 1
Time:21:36:10:941  [112] RopeEncLoc=82.807,-105.757,-44.466,-188.742,-266.492,-195.277
Time:21:36:10:943  [113] Move.Joint RopeEncLoc
Time:21:36:14:412  [113] 1
Time:21:36:24:431  [114] 0 82.803,-105.759,-44.464,-188.742,-266.494,-195.277,0.000,0.000,0.000
Time:21:36:24:504  [115] 0
Time:21:36:24:528  [116] 0
Time:21:36:30:760  [114] Robot.WhereAngle 1
Time:21:36:30:761  [115] RopeEncLoc=63.213,-115.716,-22.492,-201.726,-285.441,-209.993
Time:21:36:30:762  [116] Move.Joint RopeEncLoc
Time:21:36:31:848  [116] 1
Time:21:36:41:847  [117] 0 63.212,-115.716,-22.490,-201.725,-285.443,-209.994,0.000,0.000,0.000
Time:21:36:41:921  [118] 0
Time:21:36:41:945  [119] 0
Time:21:36:48:39  [117] Robot.WhereAngle 1
Time:21:36:48:41  [118] RopeEncLoc=59.735,-98.952,-27.959,-171.190,-327.587,-224.144
Time:21:36:48:43  [119] Move.Joint RopeEncLoc
Time:21:36:51:126  [119] 1
Time:21:37:1:170  [120] 0 59.733,-98.951,-27.957,-171.188,-327.589,-224.145,0.000,0.000,0.000
Time:21:37:1:254  [121] 0
Time:21:37:1:278  [122] 0
Time:21:37:7:346  [120] Robot.WhereAngle 1
Time:21:37:7:348  [121] RopeEncLoc=52.984,-91.534,-43.216,-160.850,-343.891,-202.010
Time:21:37:7:351  [122] Move.Joint RopeEncLoc
Time:21:37:8:607  [122] 1
Time:21:37:18:629  [123] 0 52.982,-91.533,-43.215,-160.848,-343.891,-202.010,0.000,0.000,0.000
Time:21:37:18:733  [124] 0
Time:21:37:18:750  [125] 0
Time:21:37:24:621  [123] Robot.WhereAngle 1
Time:21:37:25:129  [124] RopeEncLoc=26.162,-86.362,-47.203,-124.974,-353.672,-186.235
Time:21:37:25:131  [125] Move.Joint RopeEncLoc
Time:21:37:27:368  [125] 1
Time:21:37:37:390  [126] 0 26.160,-86.364,-47.202,-124.972,-353.673,-186.235,0.000,0.000,0.000
Time:21:37:37:458  [127] 0
Time:21:37:37:478  [128] 0
Time:21:37:43:425  [126] Robot.WhereAngle 1
Time:21:37:43:935  [127] RopeEncLoc=2.305,-75.571,-66.300,-76.628,-323.039,-174.560
Time:21:37:43:938  [128] Move.Joint RopeEncLoc
Time:21:37:47:351  [128] 1
Time:21:37:57:370  [129] 0 2.302,-75.573,-66.299,-76.626,-323.039,-174.558,0.000,0.000,0.000
Time:21:37:57:446  [130] 0
Time:21:37:57:469  [131] 0
Time:21:38:3:746  [129] Robot.WhereAngle 1
Time:21:38:3:747  [130] RopeEncLoc=-1.388,-66.909,-67.989,-90.632,-297.235,-152.240
Time:21:38:3:749  [131] Move.Joint RopeEncLoc
Time:21:38:5:180  [131] 1
