build,HE3-V3-CRAIG-MDH-ANALYTIC-TWOSTAGE-LASER-PRIOR-CONTROLLER-REPLAY-20260826-R7.3
status,1
iterations,2
active_count,15
rank,15
condition,1567.59344096037
condition_gate_max,3000
measurement_nuisance_count,4
stage2_nuisance_frozen,1
stage2_condition_matrix,robot_parameters_only
laser_prior_policy,eight_machine_mean_sample_sigma_3sigma
rope_bias_mm,3.49400547903416
geometry_mae_bias_only_mm,0.697643200786059
measurement_model,L_measured=norm(P-lambda)+bL
rope_fixed_offset_nominal_mm,62.5
rope_fixed_offset_effective_mm,59.0059945209658
mae_before_bias_mm,3.49400547903416
geometry_mae_after_bias_mm,0.606992651257389
mae_before_mm,3.49400547903416
mae_after_mm,0.606992651257389
max_before_mm,7.25138781407264
max_after_mm,3.14101400591389
laser_reference_count,8
laser_reference_source,2.HE3_laser_calibration_dataset
laser_design_d_mm,0|49|493|-120|317|0|93
controller_mdh_alpha_deg,0|90|-90|90|-90|90|-90
legacy_sdh_alpha_deg,90|-90|90|-90|90|-90|0
input_model_source,控制器实时回读 1101.11/1101.12（Zero已由Robot.WhereAngle体现）
laser_allowed_parameters,D2|D3|D4|D5|Alpha1|Alpha2|Alpha3|Alpha4|Alpha5|Alpha6|Alpha7|q2|q3|q4|q5|q6
rope_active_parameters,D2|D3|D4|D5|Alpha1|Alpha2|Alpha3|Alpha4|Alpha5|Alpha6|q2|q3|q4|q5|q6
structurally_held,Alpha7|q7|A1-A7|D1|D6|D7|q1|Beta1-Beta7
measurement_nuisance_parameters,anchor_x|anchor_y|anchor_z|bL
laser_population_d2_d5_max_span_mm,1.798
laser_population_alpha_q_max_span_deg,1.079407
terminal_structure_d7_mm,93
tool_offset_mm,49
terminal_effective_mm,142
q6_sensitivity_rms_mm_per_deg,1.07672012843902
alpha6_sensitivity_rms_mm_per_deg,1.07463989612813
q7_sensitivity_rms_mm_per_deg,0
q6_alpha6_column_cosine,-0.0961108277124283
q6_candidate_active,1
iteration,geometry_mae_after_bias_mm,max_mm,step_scale,rope_bias_mm,d1_mm,d2_mm,d3_mm,d4_mm,d5_mm,d6_mm,d7_mm,alpha1_deg,alpha2_deg,alpha3_deg,alpha4_deg,alpha5_deg,alpha6_deg,alpha7_deg,q0_1_deg,q0_2_deg,q0_3_deg,q0_4_deg,q0_5_deg,q0_6_deg,q0_7_deg
0,0.697643200786059,3.75738233503848,0,3.49400547903416,0,48.528,492.559,-120.102,316.97,0,142,0,90.145,-89.974,89.948,-89.85,89.72,-90.085,0,0,0,0,0,0,0
1,0.607357185139803,3.13834339592152,1,3.49400547903416,0,48.5346599509816,492.545066534892,-120.047642635133,316.987734374805,0,142,0,90.1510037298696,-89.9808770865742,89.9478915700226,-89.8088508213666,89.7581576570463,-90.0420824878164,0,-0.0640698034381611,0.0306099019894281,-0.076814598326954,-0.198450946076279,0.0477427875930108,0
2,0.606992651257389,3.14101400591389,1,3.49400547903416,0,48.5344002875984,492.545492174109,-120.04886478481,316.987555849835,0,142,0,90.1506199011493,-89.9806819811655,89.9479395373539,-89.8090414790878,89.7589280662934,-90.0412121745935,0,-0.0646427809240558,0.0307846937540444,-0.0768630040956883,-0.199754116327063,0.0498206276014867,0
result_slot,value_before_gui_unit_conversion
0,0
1,0
2,0
3,-0.12004886478481
4,0.316987555849835
5,0.142
6,-0
7,0.0646427809240558
8,-0.0307846937540444
9,0.0768630040956883
10,0.199754116327063
11,-0.0498206276014867
point,rope_raw_mm,rope_with_fixed_offset_mm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q7_rad,sample_std_mm,rope_bias_corrected_mm,residual_before_bias_mm,residual_after_geometry_mm
1,905.583632,968.083632,0,1.74532922222222e-05,-1.74532922222222e-05,-1.57077884670778,1.74532922222222e-05,1.74532922222222e-05,-1.74532922222222e-05,0,964.589626520966,2.81790793105186,-0.496251973250139
2,852.962027,915.462027,-0.211202289181111,-0.0486074188388889,0.08843583169,-1.48075476542556,-0.309062898671111,-0.0694117431677778,-0.0878424197544445,0,911.968021520966,2.99860238988003,-0.289223334165523
3,998.217169,1060.717169,-0.0839852421733333,0.159627810664444,0.134739415955556,-1.75756398007,-0.684064335357778,-0.05105087975,0.282464081324444,0,1057.22316352097,3.17085616164747,-0.0929837365394762
4,1095.448165,1157.948165,-0.00418879013333333,0.403013970703333,0.101525800856667,-1.91371858558222,-0.849922971345556,-0.130463359361111,0.485794935713333,0,1154.45415952097,2.58219817477001,-0.57109587606623
5,1020.839475,1083.339475,-0.191288082755556,0.317876811243333,0.121911246172222,-1.73040665737222,-0.474031416755556,-0.18566812266,0.773582271165556,0.00140380430967923,1079.84546952097,2.41317134673813,-0.633527692845459
6,999.71573,1062.21573,-0.290859114883333,0.253264723436667,0.217590194134444,-1.70005538219778,-0.396695878918889,-0.0412421295211111,1.20490548185333,0,1058.72172452097,2.79884930040941,-0.257929388676792
7,1026.531901,1089.031901,-0.200730313847778,0.265866000421111,0.188530462584444,-1.80992385673667,-0.256720475296667,0.02780309451,0.782082024477778,0,1085.53789552097,2.8363263521054,-0.319975116671079
8,947.511757,1010.011757,-0.12377874844,0.101578160733333,0.121911246172222,-1.62963134808111,-0.426069769728889,0.114790302945556,1.20527200099,0,1006.51775152097,3.34193055420529,0.153896227947769
9,977.946234,1040.446234,0.00802851442222222,0.172717779831111,-0.0494626301577778,-1.85158486527111,-0.258343631473333,0.131283664095556,0.83786274642,0,1036.95222852097,2.7420843414292,-0.65998476158462
10,942.447533,1004.947533,0.117006871057778,-0.00422369671777778,-0.00907571195555556,-1.63265076763556,-0.0704589407011111,0.145961882854444,0.498518385743333,0,1001.45352752097,3.03598518118298,-0.352111463128569
11,787.52018,850.02018,0.229877311858889,-0.266965557831111,-0.286809951087778,-1.01168008366111,-0.0704589407011111,-0.196803323097778,0.923261705263333,0,846.526174520966,3.12446512857456,-0.0314831141579488
12,728.311223,790.811223,0.10335839654,-0.505429889463333,-0.286792497795556,-1.04513804485111,-0.445198578004444,-0.00511381462111111,1.42272256878667,0,787.317217520966,3.59603245579865,-0.125571281921855
13,782.129571,844.629571,0.10335839654,-0.251973179812222,-0.223733752996667,-1.30557607139111,-0.0478918338577778,0.0924675421933333,1.06438902617222,0,841.135565520966,2.90511333994714,-0.599462072287827
14,899.613954,962.113954,0.170623384764444,0.07037167424,-0.223733752996667,-1.59392191219444,-0.46212827146,0.17215927448,1.45286440445444,0,958.619948520966,2.9627399724248,-0.354058229245769
15,926.023022,988.523022,0.453820504362222,0.158057014364444,-0.461307966725556,-1.72073753348111,-0.171583315836667,0.0621686268955556,0.395701041262222,0,985.029016520966,1.53807236545578,-1.91575771663903
16,908.977329,971.477329,0.628074173908889,0.158057014364444,-0.65439373858,-1.74206545657667,-0.229877311858889,0.134250723773333,-0.108978356635556,0,967.983323520966,1.37942390764989,-2.19558532522206
17,884.670457,947.170457,-0.284261770423333,0.158057014364444,-0.15330971888,-1.40413481257,0.853308910036667,-0.406330096225556,-0.108978356635556,0,943.676451520966,3.32901423299625,0.341632777391143
18,765.957745,828.457745,-0.445722176771111,-0.117879535668889,-0.153292265587778,-1.08651980071,1.31826461483667,-0.771610049144444,-1.05901341216778,0,824.963739520966,4.24392619052449,1.26824725750003
