build,HE3-V3-CRAIG-MDH-ANALYTIC-TWOSTAGE-LASER-PRIOR-FINAL-WRITEBACK-20260826-R7.2.2a
status,1
iterations,3
active_count,15
rank,15
condition,1571.5621622411
condition_gate_max,3000
measurement_nuisance_count,4
stage2_nuisance_frozen,1
stage2_condition_matrix,robot_parameters_only
laser_prior_policy,eight_machine_mean_sample_sigma_3sigma
rope_bias_mm,2.76444213988568
geometry_mae_bias_only_mm,0.679218692591512
measurement_model,L_measured=norm(P-lambda)+bL
rope_fixed_offset_nominal_mm,62.5
rope_fixed_offset_effective_mm,59.7355578601143
mae_before_bias_mm,2.76444213988568
geometry_mae_after_bias_mm,0.586722292641572
mae_before_mm,2.76444213988568
mae_after_mm,0.586722292641572
max_before_mm,6.58468413591207
max_after_mm,3.13650019264057
laser_reference_count,8
laser_reference_source,2.HE3_laser_calibration_dataset
laser_design_d_mm,0|49|493|-120|317|0|93
controller_mdh_alpha_deg,0|90|-90|90|-90|90|-90
legacy_sdh_alpha_deg,90|-90|90|-90|90|-90|0
input_model_source,公共MDH（./Config/RobotType/HE3_GY-cfg.txt）（R7.2固定公共输入）
laser_allowed_parameters,D2|D3|D4|D5|Alpha1|Alpha2|Alpha3|Alpha4|Alpha5|Alpha6|Alpha7|q2|q3|q4|q5|q6
rope_active_parameters,D2|D3|D4|D5|Alpha1|Alpha2|Alpha3|Alpha4|Alpha5|Alpha6|q2|q3|q4|q5|q6
structurally_held,Alpha7|q7|A1-A7|D1|D6|D7|q1|Beta1-Beta7
measurement_nuisance_parameters,anchor_x|anchor_y|anchor_z|bL
laser_population_d2_d5_max_span_mm,1.798
laser_population_alpha_q_max_span_deg,1.079407
terminal_structure_d7_mm,93
tool_offset_mm,49
terminal_effective_mm,142
q6_sensitivity_rms_mm_per_deg,1.07775218382075
alpha6_sensitivity_rms_mm_per_deg,1.07717577737999
q7_sensitivity_rms_mm_per_deg,0
q6_alpha6_column_cosine,-0.0944631158957591
q6_candidate_active,1
iteration,geometry_mae_after_bias_mm,max_mm,step_scale,rope_bias_mm,d1_mm,d2_mm,d3_mm,d4_mm,d5_mm,d6_mm,d7_mm,alpha1_deg,alpha2_deg,alpha3_deg,alpha4_deg,alpha5_deg,alpha6_deg,alpha7_deg,q0_1_deg,q0_2_deg,q0_3_deg,q0_4_deg,q0_5_deg,q0_6_deg,q0_7_deg
0,0.679218692591512,3.82024199602639,0,2.76444213988568,0,49,493,-120,317,0,142,0,90,-90,90,-90,90,-90,0,0,0,0,0,0,0
1,0.588117875507501,3.13028911717751,1,2.76444213988568,0,48.5276369081067,492.558215537677,-120.102075005985,316.968926225684,0,142,0,90.1450709837742,-89.9735370723489,89.9480024290096,-89.850986354984,89.7193790035965,-90.0859329191999,0,-0.0312247087931486,0.102280468612799,-0.0577020556711076,-0.230474974735008,0.098270428970003,0
2,0.586725280130576,3.13652367025986,1,2.76444213988568,0,48.5275917120846,492.558699973555,-120.102131337444,316.969639797917,0,142,0,90.1447559364995,-89.9736532241842,89.9482469353333,-89.8503652210263,89.7197127013779,-90.0849658805516,0,-0.0314638085376061,0.10218096774545,-0.0573126605014529,-0.227571538813319,0.0991579481540023,0
3,0.586722292641572,3.13650019264057,1,2.76444213988568,0,48.5275952474209,492.55869805696,-120.102135873088,316.969656941053,0,142,0,90.1447571670992,-89.9736528521426,89.9482452056409,-89.8503681517985,89.7197098078963,-90.0849848968176,0,-0.0314593706968135,0.102172035306728,-0.0573149239021007,-0.227613876523204,0.099138475535671,0
result_slot,value_before_gui_unit_conversion
0,0
1,0
2,0
3,-0.120102135873088
4,0.316969656941053
5,0.142
6,-0
7,0.0314593706968135
8,-0.102172035306728
9,0.0573149239021007
10,0.227613876523204
11,-0.099138475535671
point,rope_raw_mm,rope_with_fixed_offset_mm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q7_rad,sample_std_mm,rope_bias_corrected_mm,residual_before_bias_mm,residual_after_geometry_mm
1,906.236401,968.736401,0,1.74532922222222e-05,-1.74532922222222e-05,-1.5707963,3.49065844444444e-05,1.74532922222222e-05,0,0,965.971958860114,2.50542661396047,-0.34964726504293
2,853.319997,915.819997,-0.211167382596667,-0.0486074188388889,0.08843583169,-1.48075476542556,-0.309062898671111,-0.0694117431677778,-0.0878598730466667,0,913.055554860114,2.63313073765425,-0.401359262990664
3,998.775181,1061.275181,-0.0839852421733333,0.159627810664444,0.134739415955556,-1.75758143336222,-0.684064335357778,-0.0510334264577778,0.282498987908889,0,1058.51073886011,2.84104844108279,-0.160678985267382
4,1096.027234,1158.527234,-0.00417133684111111,0.402996517411111,0.101525800856667,-1.91371858558222,-0.849940424637778,-0.130480812653333,0.485794935713333,0,1155.76279186011,2.14015140004009,-0.576453465008442
5,1021.102688,1083.602688,-0.191288082755556,0.317894264535556,0.121928699464444,-1.73042411066444,-0.474031416755556,-0.185650669367778,0.773582271165556,0,1080.83824586011,1.89766604734731,-0.793709187532399
6,1000.0737,1062.5737,-0.290876568175556,0.253282176728889,0.217607647426667,-1.70005538219778,-0.396695878918889,-0.0412421295211111,1.20492293514556,0,1059.80925786011,2.44216543400544,-0.366688061020793
7,1027.068857,1089.568857,-0.200712860555556,0.265883453713333,0.188530462584444,-1.80992385673667,-0.256737928588889,0.0278205478022222,0.78209947777,0,1086.80441486011,2.50822417442409,-0.332300975606315
8,948.115393,1010.615393,-0.123743841855556,0.101578160733333,0.121928699464444,-1.62963134808111,-0.426069769728889,0.114790302945556,1.20530690757444,0,1007.85095086011,3.11555589050094,0.200030075818602
9,978.570927,1041.070927,0.00804596771444444,0.172700326538889,-0.0494626301577778,-1.85160231856333,-0.258343631473333,0.131336023972222,0.837897653004445,0,1038.30648486011,2.44886561131086,-0.574147409637338
10,943.152944,1005.652944,0.117006871057778,-0.00420624342555556,-0.00907571195555556,-1.63265076763556,-0.0704763939933333,0.145944429562222,0.498535839035556,0,1002.88850186011,2.7101116647994,-0.222785557262617
11,787.94483,850.44483,0.229912218443333,-0.266948104538889,-0.286792497795556,-1.01171499024556,-0.0704763939933333,-0.196785869805556,0.923261705263333,0,847.680387860114,2.59341050493789,0.0498264269858215
12,728.995578,791.495578,0.10335839654,-0.505429889463333,-0.286792497795556,-1.04513804485111,-0.445198578004444,-0.00514872120555556,1.42272256878667,0,788.731135860114,3.36792383932771,-0.137026480161329
13,782.673545,845.173545,0.10335839654,-0.25195572652,-0.223751206288889,-1.30559352468333,-0.04790928715,0.0924675421933333,1.06440647946444,0,842.409102860114,2.51489707706043,-0.557902084373774
14,900.224609,962.724609,0.170658291348889,0.0703542209477778,-0.223751206288889,-1.59393936548667,-0.46212827146,0.172141821187778,1.45288185774667,0,959.960166860114,2.66601089023843,-0.203032131117598
15,926.619639,989.119639,0.453820504362222,0.158074467656667,-0.461325420017778,-1.72072008018889,-0.171583315836667,0.0621686268955556,0.395718494554444,0,986.355196860114,1.14061054168313,-1.72325147908358
16,909.640626,972.140626,0.628074173908889,0.158074467656667,-0.65439373858,-1.74206545657667,-0.229877311858889,0.134250723773333,-0.108960903343333,0,969.376183860114,1.08049454724513,-1.91743193199122
17,884.589738,947.089738,-0.284261770423333,0.158074467656667,-0.153327172172222,-1.40415226586222,0.853308910036667,-0.406347549517778,-0.108960903343333,0,944.325295860114,2.80261856435005,0.233281175949684
18,765.743665,828.243665,-0.445687270186667,-0.117862082376667,-0.15330971888,-1.08651980071,1.31824716154444,-0.771610049144444,-1.05899595887556,0,825.479222860114,3.82260560150038,1.03913662125178
19,716.013898,778.513898,-0.51553534566,-0.382471445757778,0.21472785421,-1.08651980071,1.31824716154444,-0.582992320098889,-1.25408885933556,0,775.749455860114,5.84165086932797,3.13650019264057
20,821.109707,883.609707,-0.350462107822222,-0.107477373504444,0.189298407442222,-1.40415226586222,1.53437127913222,-0.0903906004188889,-1.45305639066889,0,880.845264860114,2.40254551313335,-6.71412579869406e-05
