build,HE3-V3-V1-ANALYTIC-20260819-R3
status,1
iterations,7
active_count,7
rank,7
condition,2824.67484078899
mae_before_mm,89.8375133076365
mae_after_mm,3.75094851592724
max_before_mm,138.2145993777
max_after_mm,19.8233521186433
result_slot,value_before_gui_unit_conversion
0,0
1,0
2,6e-07
3,-0.0722572023167409
4,0.333302556939515
5,-0.00442586401024683
6,-0
7,-2.0637850217214
8,-10.9101010359751
9,-2.17452085993669
10,-30.3966362253443
11,-0
point,rope_raw_mm,rope_with_fixed_offset_mm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q7_rad,residual_before_mm,residual_after_mm
1,849.526216,912.026216,0,0,0,-1.5707963,0,-1.74532922222222e-05,0,11.4519413060024,6.02307392464452
2,796.753703,859.253703,-0.211167382596667,-0.0486248721311111,0.0884532849822222,-1.48071985884111,-0.309097805255556,-0.0693244767066667,-0.0878249664622222,3.65921782869927,-3.46753946389911
3,942.142205,1004.642205,-0.0839677888811111,0.159610357372222,0.134756869247778,-1.75758143336222,-0.684064335357778,-0.0509985198733333,0.282498987908889,38.2462272297365,7.57509388083855
4,1038.404576,1100.904576,-0.00417133684111111,0.402979064118889,0.101543254148889,-1.91370113229,-0.849940424637778,-0.130480812653333,0.485794935713333,25.9141723665415,2.66144016719183
5,962.929038,1025.429038,-0.19132298934,0.317876811243333,0.121946152756667,-1.73037175078778,-0.474048870047778,-0.185615762783333,0.773599724457778,2.39822720885496,-5.59262261946714
6,941.89303,1004.39303,-0.290876568175556,0.253247270144444,0.217590194134444,-1.70005538219778,-0.396695878918889,-0.0411897696444444,1.20494038843778,3.99517747261591,-6.29307645505461
7,969.502351,1032.002351,-0.200730313847778,0.265866000421111,0.188547915876667,-1.80990640344444,-0.256720475296667,0.0278205478022222,0.782116931062222,20.4295240335679,-0.60052267753119
8,890.138275,952.638275,-0.123743841855556,0.101578160733333,0.121928699464444,-1.62961389478889,-0.426069769728889,0.114860116114444,1.20528945428222,22.0740809796705,1.02264421067821
9,921.383449,983.883449,0.00804596771444444,0.172700326538889,-0.0494451768655556,-1.85160231856333,-0.258343631473333,0.131353477264444,0.837897653004445,22.1230258056005,-0.00570753205564323
10,886.021619,948.521619,0.11702432435,-0.00422369671777778,-0.00905825866333333,-1.63263331434333,-0.0704589407011111,0.145996789438889,0.498518385743333,30.3430271389039,11.9530358317318
11,729.648347,792.148347,0.229912218443333,-0.266965557831111,-0.286809951087778,-1.01168008366111,-0.0704589407011111,-0.196750963221111,0.923279158555556,-3.68641326394126,12.1315303838389
12,676.893381,739.393381,0.10335839654,-0.505429889463333,-0.286809951087778,-1.04512059155889,-0.445198578004444,-0.00509636132888889,1.42272256878667,2.07731720952808,-4.51550652051647
13,726.338878,788.838878,0.10335839654,-0.251973179812222,-0.223716299704444,-1.30557607139111,-0.0478918338577778,0.0924849954855556,1.06438902617222,-12.6770229572508,-6.34019010127451
14,841.201656,903.701656,0.170658291348889,0.07037167424,-0.223751206288889,-1.59392191219444,-0.46212827146,0.172141821187778,1.45288185774667,12.4642713083212,-1.46177642716616
15,868.000281,930.500281,0.453820504362222,0.158039561072222,-0.461290513433333,-1.72072008018889,-0.171618222421111,0.0621860801877778,0.395735947846667,14.1289895661224,3.15549393375825
16,850.659788,913.159788,0.628074173908889,0.158039561072222,-0.65439373858,-1.74208290986889,-0.229877311858889,0.134285630357778,-0.108978356635556,12.3224042174889,1.6035625832761
17,824.513933,887.013933,-0.284261770423333,0.158039561072222,-0.15330971888,-1.40413481257,0.853308910036667,-0.406312642933333,-0.108960903343333,-52.2504917389806,-3.0794103335321
18,705.724012,768.224012,-0.445722176771111,-0.117879535668889,-0.153274812295556,-1.08648489412556,1.31824716154444,-0.771592595852222,-1.05899595887556,-46.0991619559278,6.34124301946393
