point,sample_count,mean_counts,std_counts,std_mm
1,5,265861,0,0
2,5,250790,0,0
3,5,292224,0,0
4,5,319912,0,0
5,5,298571,0,0
6,5,292577,0,0
7,5,300261,0,0
8,5,277763,0,0
9,5,286442,0,0
10,5,276357,0,0
11,5,232148,0,0
12,5,215359,0,0
13,5,230652,0,0
14,5,264150,0,0
15,5,271663,0,0
16,5,266828,0,0
17,5,259689,0,0
18,5,225835,0,0
19,5,211653,0,0
20,5,241615,0,0
21,5,234711,0,0
22,5,229873,0,0
23,5,221671,0,0
24,5,220933,0,0
25,5,211767,0,0
26,5,216458,0,0
27,5,222278,0,0
28,5,235743,0,0
29,5,242802,0,0
30,5,247564,0,0
31,5,254060,0,0
32,5,252445,0,0
33,5,270336,0,0
34,5,275604,0,0
35,5,283303,0,0
36,5,273487,0,0
37,5,275753.8,0.4,0.00140380430968
38,5,271162,0,0
39,5,265188,0,0
40,5,258956,0,0
41,5,256351,0,0
42,5,254156,0,0
43,5,253732,0,0
44,5,249513,0,0
45,5,251026,0,0
46,5,250369,0,0
47,5,247368,0,0
48,5,244307,0,0
49,5,242185,0,0
50,5,273546,0,0
51,5,247147,0,0
52,5,245866,0,0
53,5,246195,0,0
54,5,241563,0,0
55,5,243811,0,0
56,5,243471,0,0
57,5,244728,0,0
58,5,243885,0,0
59,5,244382,0,0
60,5,274195,0,0
61,5,275071,0,0
62,5,263033.4,0.489897948557,0.00171930212872
63,5,259778,0,0
64,5,280382,0,0
65,5,301678.8,0.4,0.00140380430968
66,5,239094,0,0
67,5,242541,0,0
68,5,251754,0,0
69,5,283764,0,0
70,5,304366,0,0
71,5,315350,0,0
72,5,288503,0,0
73,5,276807,0,0
74,5,259867,0,0
75,5,259208,0,0
76,5,264021,0,0
77,5,266073,0,0
78,5,266007,0,0
79,5,265923,0,0
80,5,265800,0,0
81,5,265775,0,0
82,5,265773,0,0
