point,sample_count,mean_counts,std_counts,std_mm
1,5,274730,0,0
2,5,259736,0,0
3,5,301125,0,0
4,5,328830,0,0
5,5,307571.2,0.4,0.00140380430968
6,5,301552,0,0
7,5,309193,0,0
8,5,286677,0,0
9,5,295349,0,0
10,5,285234,0,0
11,5,241089,0,0
12,5,224218,0,0
13,5,239553,0,0
14,5,273029,0,0
15,5,280554,0,0
16,5,275697,0,0
17,5,268771,0,0
18,5,234945,0,0
19,5,220624,0,0
20,5,250577,0,0
21,5,243665,0,0
22,5,238833,0,0
23,5,230635,0,0
24,5,229883,0,0
25,5,220755,0,0
26,5,225457,0,0
27,5,231294,0,0
28,5,244747,0,0
29,5,251808,0,0
30,5,256577,0,0
31,5,263063,0,0
32,5,261400,0,0
33,5,279318,0,0
34,5,284581,0,0
35,5,292260,0,0
36,5,282438,0,0
37,5,284705,0,0
38,5,280111,0,0
39,5,274130,0,0
40,5,267908,0,0
41,5,265288,0,0
42,5,263094,0,0
43,5,262665,0,0
44,5,258451,0,0
45,5,259953,0,0
46,5,259294,0,0
47,5,256277,0,0
48,5,253222,0,0
49,5,251084,0,0
50,5,282459,0,0
51,5,256133,0,0
52,5,254819,0,0
53,5,255157,0,0
54,5,250515,0,0
55,5,252758,0,0
56,5,252412,0,0
57,5,253661,0,0
58,5,252813,0,0
59,5,253299,0,0
60,5,283117,0,0
61,5,283953,0,0
62,5,271933,0,0
63,5,268701,0,0
64,5,289373,0,0
65,5,310665,0,0
66,5,248180,0,0
67,5,251560,0,0
68,5,260719,0,0
69,5,292645,0,0
70,5,313231,0,0
71,5,324218,0,0
72,5,297389,0,0
73,5,285703,0,0
74,5,268819,0,0
75,5,268195,0,0
76,5,273048,0,0
77,5,274953,0,0
78,5,274900,0,0
79,5,274827,0,0
80,5,274723,0,0
81,5,274704,0,0
82,5,274703,0,0
