point,sample_count,mean_counts,std_counts,std_mm
1,5,273914,0,0
2,5,258852,0,0
3,5,300308,0,0
4,5,328016,0,0
5,5,306664,0,0
6,5,300672,0,0
7,5,308355,0,0
8,5,285861,0,0
9,5,294535,0,0
10,5,284455,0,0
11,5,240245,0,0
12,5,223455,0,0
13,5,238754,0,0
14,5,272264,0,0
15,5,279783,0,0
16,5,274943,0,0
17,5,267807,0,0
18,5,233945,0,0
19,5,219751,0,0
20,5,249717,0,0
21,5,242825,0,0
22,5,237976,0,0
23,5,229775,0,0
24,5,229030,0,0
25,5,219871,0,0
26,5,224543,0,0
27,5,230369,0,0
28,5,243858,0,0
29,5,250915,0,0
30,5,255674,0,0
31,5,262176,0,0
32,5,260515,0,0
33,5,278456,0,0
34,5,283722,0,0
35,5,291414,0,0
36,5,281602,0,0
37,5,283868,0,0
38,5,279274,0,0
39,5,273290,0,0
40,5,267066,0,0
41,5,264451,0,0
42,5,262262,0,0
43,5,261821,0,0
44,5,257617,0,0
45,5,259121,0,0
46,5,258459,0,0
47,5,255457,0,0
48,5,252399,0,0
49,5,250280,0,0
50,5,281684,0,0
51,5,255271,0,0
52,5,253967,0,0
53,5,254289,0,0
54,5,249661,0,0
55,5,251908,0,0
56,5,251566,0,0
57,5,252821,0,0
58,5,251984,0,0
59,5,252476,0,0
60,5,282332,0,0
61,5,283207,0,0
62,5,271165,0,0
63,5,267919,0,0
64,5,288519,0,0
65,5,309762,0,0
66,5,247192,0,0
67,5,250635,0,0
68,5,259853,0,0
69,5,291881,0,0
70,5,312449,0,0
71,5,323437,0,0
72,5,296596,0,0
73,5,284904,0,0
74,5,267966,0,0
75,5,267302,0,0
76,5,272112,0,0
77,5,274162,0,0
78,5,274097,0,0
79,5,274011,0,0
80,5,273889,0,0
81,5,273866,0,0
82,5,273863,0,0
