point,sample_count,mean_counts,std_counts,std_mm
1,20,259643,0,0
2,20,244600,0,0
3,20,286177,0,0
4,20,313915,0,0
5,20,292623,0,0
6,20,286653,0,0
7,20,294232,0,0
8,20,271722,0,0
9,20,280158,0,0
10,20,270053,0,0
11,20,225639,0,0
12,20,208279,0,0
13,20,223984,0,0
14,20,257799,0,0
15,20,265191,0,0
16,20,260163,0,0
17,20,253471,0,0
18,20,219473,0,0
19,20,204935,0,0
20,20,235413,0,0
21,20,228298,0,0
22,20,223110,0,0
23,20,214666,0,0
24,20,213986,0,0
25,20,204363,0,0
26,20,209489,0,0
27,20,215448,0,0
28,20,229106,0,0
29,20,236084,0,0
30,20,240779,0,0
31,20,247763,0,0
32,20,246022,0,0
33,20,264246,0,0
34,20,269615,0,0
35,20,277451,0,0
36,20,267682,0,0
37,20,270045,0,0
38,20,265443,0,0
39,20,259435,0,0
40,20,253197,0,0
41,20,250601,0,0
42,20,248337,0,0
43,20,247876,0,0
44,20,243596,0,0
45,20,245012,0,0
46,20,244313,0,0
47,20,241192,0,0
48,20,237988,0,0
49,20,235504,0,0
50,20,266454,0,0
51,20,241008.8,0.4,0.00140380430968
52,20,239674,0,0
53,20,239972,0,0
54,20,235236,0,0
55,20,237431,0,0
56,20,237066,0,0
57,20,238193,0,0
58,20,237193,0,0
59,20,237313,0,0
60,20,266816,0,0
61,20,259753,0,0
62,20,259742,0,0
63,20,259711,0,0
64,20,259684,0,0
65,20,259669,0,0
66,20,259666,0,0
67,20,259665,0,0
68,20,259666,0,0
69,20,259687.3,0.458257569496,0.0016082598775
70,20,219465,0,0
71,20,204925,0,0
72,20,235406,0,0
73,20,219455,0,0
74,20,204922,0,0
75,20,235390,0,0
76,20,219446,0,0
77,20,204919,0,0
78,20,235380,0,0
79,20,267843,0,0
80,20,256243,0,0
81,20,253319,0,0
82,20,274292,0,0
83,20,295691,0,0
84,20,232374,0,0
85,20,235951,0,0
86,20,245343,0,0
87,20,277670,0,0
88,20,298364,0,0
89,20,313351.7,0.458257569496,0.0016082598775
90,20,281972,0,0
91,20,270340,0,0
92,20,253559,0,0
93,20,252948,0,0
94,20,257792,0,0
95,20,259695,0,0
96,20,259638,0,0
97,20,259554,0,0
98,20,259431,0,0
99,20,259404,0,0
100,20,259403,0,0
