point,sample_count,mean_counts,std_counts,std_mm
1,20,259432,0,0
2,20,244442,0,0
3,20,286012,0,0
4,20,313759,0,0
5,20,292445,0,0
6,20,286467,0,0
7,20,294080,0,0
8,20,271527,0,0
9,20,280028,0,0
10,20,269870,0,0
11,20,225466,0,0
12,20,208121,0,0
13,20,223830,0,0
14,20,257627,0,0
15,20,265032,0,0
16,20,259997,0,0
17,20,253366,0,0
18,20,219375,0,0
19,20,204826,0,0
20,20,235279,0,0
21,20,228158,0,0
22,20,223007,0,0
23,20,214582.25,0.433012701892,0.00151966274266
24,20,213905,0,0
25,20,204308,0,0
26,20,209421,0,0
27,20,215382.35,0.476969600708,0.00167392995265
28,20,229033,0,0
29,20,236021,0,0
30,20,240720,0,0
31,20,247677,0,0
32,20,245938,0,0
33,20,264150,0,0
34,20,269507,0,0
35,20,277351,0,0
36,20,267551,0,0
37,20,269911,0,0
38,20,265300,0,0
39,20,259295,0,0
40,20,253056,0,0
41,20,250451,0,0
42,20,248190,0,0
43,20,247728,0,0
44,20,243455,0,0
45,20,244883,0,0
46,20,244179,0,0
47,20,241073,0,0
48,20,237877,0,0
49,20,235401,0,0
50,20,266358,0,0
51,20,240940,0,0
52,20,239585,0,0
53,20,239899,0,0
54,20,235147,0,0
55,20,237364,0,0
56,20,236980,0,0
57,20,238112,0,0
58,20,237108,0,0
59,20,237238,0,0
60,20,266731.5,0.5,0.0017547553871
61,20,259620,0,0
62,20,259615,0,0
63,20,259583.05,0.217944947177,0.0007648801403
64,20,259556.45,0.497493718553,0.00174595956536
65,20,259540,0,0
66,20,259537,0,0
67,20,259536,0,0
68,20,259537,0,0
69,20,259558.65,0.476969600708,0.00167392995265
70,20,219400,0,0
71,20,204847,0,0
72,20,235302,0,0
73,20,219382,0,0
74,20,204839.8,0.4,0.00140380430968
75,20,235291,0,0
76,20,219377,0,0
77,20,204831,0,0
78,20,235289,0,0
79,20,267720.45,0.497493718553,0.00174595956536
80,20,256123,0,0
81,20,253188,0,0
82,20,274168,0,0
83,20,295572,0,0
84,20,232344,0,0
85,20,235927,0,0
86,20,245271,0,0
87,20,277539,0,0
88,20,298222,0,0
89,20,313356.3,0.458257569496,0.0016082598775
90,20,281928,0,0
91,20,270294,0,0
92,20,253509.75,0.433012701892,0.00151966274266
93,20,252898.55,0.497493718553,0.00174595956536
94,20,257744,0,0
95,20,259653,0,0
96,20,259593,0,0
97,20,259509,0,0
98,20,259386,0,0
99,20,259364,0,0
100,20,259362,0,0
